facility_id,clean_name,clean_type,clean_parish,clean_capacity,licence_issue_date,inspection_date,lat,lon,remarks
#7017,Davis-Beltran,Community Health Centre,St. John,243.0,2024-08-25,,13.27875,-58.89052,♥
9541,Davis-Blankenship Polyclinic,Other,Christ Church,10.0,2024-02-03,,12.72116,-59.23793,Reinspection due
1969,Davis-Brown Hosp,Hospital,St. Michael,,2021-02-25,,12.8332,-59.17158,
3a81a3,Davis-Burns,Community Health Centre,St. Joseph,,2019-08-30,2022-07-05,12.77372,-58.97082, 
HF-5525,Davis-Castillo,Unknown,St. James,,2019-12-24,,12.90572,-58.71597,
#2048,Davis-Chapman Polyclinic,Other,St. Andrew,,,,,,
1973,Davis-Figueroa Health Centre,Community Health Centre,St. Peter,263.0,2023-04-08,,,,
1974,Davis-Gomez,Community Health Centre,St. Peter,330.0,2016-12-01,,13.10499,-58.79366,Needs upgrade
#557,Davis-Inc,Community Health Centre,St. George,,2016-11-01,,12.96125,-59.05919,♥
1976,Davis-Inc Health Centre,Clinic,St. Peter,,2016-05-03,,,,Reinspection due
#4509,Davis-Inc Infirmary,Community Health Centre,St. George,109.0,2017-03-07,,12.75665,-59.22015,Follow-up 2023
#8383,Davis-Kelly,Community Health Centre,St. Joseph,,2025-01-13,,13.15515,-58.78399,
#6544,Davis-Larson Polyclinic,Polyclinic,St. John,10.0,2021-08-12,,12.97376,-59.01374,Needs upgrade
1980,Davis-Llc Polyclinic,Community Health Centre,St. John,215.0,2018-07-06,,12.8725,-58.7981,♥
HF-4404,Davis-Ltd Polyclinic,Other,St. Peter,,2024-08-17,,,,Needs upgrade
1982,Davis-Marshall,Polyclinic,St. Peter,333.0,2021-02-09,2025-02-27,12.79442,-59.29907,♥
#5954,Davis-Martin Infirmary,Community Health Centre,Christ Church,53.0,2017-07-04,,13.29896,-58.72964,♥
1984,Davis-Martinez,Community Health Centre,St. Andrew,448.0,2017-10-01,,12.97258,-58.90787,-
676,Davis-Mcbride Hosp,Hospital,St. James,151.0,2022-01-08,,,,
03269,Davis-Meyer,Polyclinic,Christ Church,197.0,2019-09-14,,,,
6bb7d7,Davis-Mitchell Hospital,Other,St. Peter,144.0,2025-07-29,,,, 
1988,Davis-Novak Infirmary,Community Health Centre,St. George,29.0,2017-11-23,2023-10-04,12.74324,-58.89026,
8574,Davis-Patterson,Clinic,St. Michael,,2016-04-22,,,,Reinspection due
HF-2488,Davis-Peters Health Centre,Polyclinic,St. Andrew,458.0,2023-07-13,,,,♥
1991,Davis-Peterson Clin,Unknown,St. Peter,482.0,2018-01-03,,,,Good
1992,Davis-Richards Polyclinic,Community Health Centre,St. George,,2018-06-27,,13.09593,-59.22705,
1190,Davis-Robbins Medical Center,Unknown,St. George,43.0,2018-10-14,,,,Good
HF-8281,Davis-Rosales,Clinic,St. Andrew,61.0,2025-06-30,2018-08-15,12.70489,-59.11377,-
3385,Davis-Rosales Infirmary,Clinic,St. Andrew,,2018-10-02,,,,
076,Davis-Salazar Medical Center,Clinic,St. Andrew,176.0,2024-01-18,,,,
1997,Davis-Shelton,Polyclinic,St. Andrew,,2019-01-13,,,,Follow-up 2023
1998,Davis-Shepherd Hospital,Community Health Centre,St. Peter,471.0,2025-06-23,,12.87904,-58.72835,Good
912,Davis-Terry Hosp,Clinic,St. James,,2018-07-11,,13.2863,-59.20648,
2000,Davis-Walker Hospital,Unknown,St. Lucy,66.0,2019-01-17,,13.1249,-59.09882,Good
7937d3,Davis-Williams,Community Health Centre,St. Michael,146.0,2025-02-27,,12.79645,-58.72786, 
e3b95f,Davis-Wilson Hospital,Unknown,St. Michael,,2020-06-27,,13.0018,-59.20468,-
2003,Davis-Wright,Clinic,St. Peter,,2016-09-04,2021-03-22,12.92517,-58.86506,Good
2004,Dawson Group,Clinic,St. Peter,320.0,2023-08-22,,12.88706,-58.81312,Good
#1062,Dawson Plc,Community Health Centre,St. Joseph,,2016-01-15,,12.97779,-59.14277,Good
63b3c0,"Dawson, Atkins And Hurst",Polyclinic,St. George,10.0,2021-09-30,,13.01562,-59.16462,-
2007,Dawson-Moore,Unknown,St. John,431.0,2016-01-23,,12.88327,-58.75606,-
HF-5616,Dawson-Rodriguez,Clinic,St. Michael,,2016-09-24,,,,Good
2009,Dawson-Skinner,Clinic,St. Michael,,2023-05-05,,12.92815,-59.21442,Follow-up 2023
2131,Dawson-Vasquez,Community Health Centre,St. John,,2025-07-02,,13.18328,-58.75179,Reinspection due
2011,Day Inc,Polyclinic,St. John,94.0,2021-02-28,2018-02-10,12.88508,-59.1216,
#7959,Day Llc Hosp,Clinic,St. John,,2021-11-07,2021-05-31,,, 
2013,Day Ltd Hospital,Community Health Centre,St. Peter,229.0,2024-01-15,,,,
1fa3aa,Day Plc Medical Center,Community Health Centre,St. Michael,,2020-03-13,,12.81329,-59.15107,♥
8706,"Day, Berg And Wright Hospital",Unknown,St. Michael,194.0,2018-02-01,,13.00156,-59.18664,Follow-up 2023
HF-2765,"Day, Brooks And Hill Hosp",Unknown,Christ Church,57.0,2025-10-31,,13.04288,-58.78386,Reinspection due
HF-2652,"Day, Brooks And Thompson Clinic",Clinic,St. George,,2017-02-10,,,,Good
#1313,"Day,-Holmes-And-Clark",Community Health Centre,St. John,,2017-07-24,2022-05-23,13.10704,-59.208,♥
2019,"Day,-Tate-And-Brown",Unknown,St. George,,2019-06-30,,13.02356,-58.82141,
2020,Day-Mooney Infirmary,Polyclinic,St. Andrew,,2023-05-05,,13.08057,-59.27669,-
cc6b95,Day-Payne,Other,St. Joseph,497.0,2023-01-06,,13.04085,-58.91812,Good
3776,Day-Wise Clinic,Community Health Centre,Christ Church,92.0,2024-09-14,,13.18705,-59.29106,Follow-up 2023
6318,Dean Inc Infirmary,Hospital,St. John,97.0,2022-04-01,2022-11-24,13.07882,-59.01962,Good
2024,Dean Llc Clin,Clinic,St. Michael,,2018-04-14,2018-05-04,,,Needs upgrade
06528,"Dean, Jackson And Parker Polyclinic",Polyclinic,Christ Church,,2020-04-25,,12.89744,-58.75354,Good
07924,"Dean, Sanchez And Acosta Medical Center",Unknown,St. Peter,403.0,2025-04-23,,12.7267,-59.12659, 
7493,"Dean,-White-And-Rice",Community Health Centre,Christ Church,275.0,2022-12-13,,,,Needs upgrade
HF-8025,Dean-Flores Clinic,Other,St. Joseph,476.0,2019-07-10,,12.74686,-59.15992,-
06935,Dean-Group Hospital,Unknown,St. Andrew,81.0,2023-04-11,,,,Reinspection due
2030,Dean-Harrison,Community Health Centre,St. Michael,,2023-10-18,,13.08117,-58.87921,Needs upgrade
2031,Dean-Kelley Health Centre,Polyclinic,St. Joseph,259.0,2016-10-18,,,,-
5082,Dean-Ross Medical Center,Unknown,Christ Church,469.0,2023-11-12,,13.25481,-59.02346,-
2033,Decker Group Health Centre,Clinic,St. George,,2017-10-27,,,,Needs upgrade
0be120,Decker-Francis Health Centre,Unknown,St. Michael,328.0,2019-04-15,2022-06-04,13.1565,-59.17335,
2035,Delacruz Inc Infirmary,Clinic,Christ Church,175.0,2021-12-30,,12.82145,-59.13404,Follow-up 2023
HF-2363,Delacruz Llc,Other,St. Joseph,87.0,2025-03-07,,12.76936,-58.80138,
3922,Delacruz Plc,Clinic,Christ Church,10.0,2020-12-13,,12.99407,-59.12733,
2038,Delacruz-Cooper Hosp,Hospital,St. Peter,131.0,2020-03-01,,,,Follow-up 2023
HF-7943,Delacruz-Group,Polyclinic,St. James,261.0,2017-09-30,,13.06196,-58.98627,Reinspection due
2040,Delacruz-Peterson Health Centre,Clinic,Christ Church,232.0,2024-12-29,,13.1542,-58.92779,Needs upgrade
00427,Deleon Group Infirmary,Unknown,St. Peter,299.0,2021-04-10,,,,
03459,Deleon Inc Health Centre (Ycul),Polyclinic,St. Lucy,443.0,2022-12-28,,,,-
2043,Deleon Ltd,Community Health Centre,Christ Church,,2019-04-20,,,,
ab44d0,"Deleon, Morris And Blankenship Medical Center",Community Health Centre,St. James,411.0,2019-01-24,,13.18776,-58.77433,
2045,"Deleon, Phelps And Hernandez Infirmary",Polyclinic,St. James,414.0,2022-07-17,,13.08449,-59.19035,-
b4da53,"Deleon, Porter And Young Clinic",Hospital,St. Andrew,276.0,2021-06-11,2020-09-21,,,
01802,Deleon-Porter Hosp,Unknown,St. James,214.0,2025-02-10,,,,
HF-0642,Deleon-Stevens Hospital,Unknown,Christ Church,,2016-12-14,2025-01-14,13.25076,-58.75336,Needs upgrade
2049,Delgado And Sons Health Centre,Polyclinic,St. Lucy,381.0,2025-03-06,,,,Needs upgrade
03164,"Delgado, Castillo And Graves Medical Center",Hospital,St. James,288.0,2020-02-16,,12.72554,-58.81248,♥
HF-6315,"Delgado, Fox And Clay Hosp",Clinic,St. James,239.0,2025-08-24,2023-01-11,13.04495,-58.84009,♥
#1865,"Delgado, Perry And Torres Infirmary",Polyclinic,St. Joseph,84.0,2017-08-31,,13.13183,-59.10122,♥
02626,"Delgado,-Trevino-And-Smith Hosp",Hospital,Christ Church,,2025-09-05,,,,
08473,Delgado-Evans,Unknown,St. Michael,253.0,2023-08-03,2023-01-18,12.74124,-58.82461,Good
09420,Delgado-Inc,Clinic,St. James,,2023-07-21,,12.7619,-59.26962,Follow-up 2023
2056,Delgado-Lopez Health Centre,Other,St. Peter,480.0,2019-06-26,2021-05-04,,,-
6900,Delgado-Medina Clinic,Polyclinic,Christ Church,277.0,2019-01-04,,,,
2058,Dennis And Sons Clinic,Hospital,St. Andrew,155.0,2018-08-09,,12.90747,-58.72607,Follow-up 2023
2059,Dennis Group,Polyclinic,St. James,,2018-06-09,,12.90712,-58.96125,Follow-up 2023
HF-0522,Dennis Inc,Clinic,St. Lucy,329.0,2023-11-03,,13.06078,-59.1193,Good
2061,"Dennis, Bradley And Delacruz Infirmary",Clinic,St. John,10.0,2019-12-07,,,,Good
f1e089,"Dennis, Bryan And James",Unknown,St. Lucy,,2023-08-18,,12.70374,-59.02074,-
HF-3456,"Dennis, Cain And Jones Polyclinic",Clinic,St. Andrew,245.0,2020-08-04,,13.08461,-59.10029,
HF-2867,"Dennis, Clark And Nichols",Hospital,St. Michael,,2020-01-19,2019-03-24,13.05978,-59.06011,Good
08900,"Dennis, Jordan And Keller",Community Health Centre,St. George,83.0,2022-05-31,,,,-
ce965e,"Dennis, Ramirez And Brandt",Clinic,St. Andrew,304.0,2024-11-17,2025-11-22,12.88372,-58.73443,
5170,"Dennis, Thompson And Lloyd Infirmary",Unknown,St. Michael,299.0,2017-12-24,,13.15457,-58.95184,Reinspection due
06008,Dennis-Hall Hosp,Unknown,St. George,,2021-07-29,2025-05-24,,,Needs upgrade
#7804,Diaz And Sons Infirmary (Hcruhc),Unknown,Hcruhc Tsirhc,10.0,2021-09-06,2024-08-07,,,Reinspection due
2651,Diaz And Sons Polyclinic,Hospital,Christ Church,446.0,2018-05-03,,13.1413,-58.71436,♥
02061,Diaz Llc Health Centre,Unknown,St. John,,2016-05-22,,,,
2072,Diaz Llc Hospital,Polyclinic,St. Andrew,,2020-11-02,,,, 
06713,Diaz Plc Polyclinic,Unknown,St. George,313.0,2022-11-06,2024-12-28,13.21446,-59.07295,Needs upgrade
2074,"Diaz, Callahan And Randolph",Unknown,St. John,364.0,2018-06-30,,12.81285,-59.14942,Reinspection due
2075,"Diaz, Campbell And Horton Hosp",Community Health Centre,St. Joseph,3.0,2023-09-26,,13.14466,-58.86057,Reinspection due
02889,"Diaz, Carpenter And Charles Hospital",Community Health Centre,Christ Church,10.0,2024-07-28,,,,Reinspection due
#8870,"Diaz, Coleman And Shaffer Health Centre",Hospital,St. George,224.0,2016-09-21,,12.81683,-58.85097,Needs upgrade
4523,"Diaz, Day And Thomas",Hospital,St. Andrew,249.0,2019-05-08,,,,♥
8f734f,"Diaz, Gonzalez And Smith Hosp",Clinic,St. Andrew,,2017-08-29,,,,-
07402,"Diaz, Hudson And Tyler Hospital",Unknown,St. Andrew,314.0,2023-12-30,,12.7524,-58.86428,
#2407,"Diaz, Porter And Mason",Hospital,St. Michael,271.0,2017-12-10,,,,
2082,"Diaz, Thompson And Pitts Clinic",Hospital,St. Lucy,272.0,2020-06-17,,,, 
#1520,"Diaz,-Castaneda-And-Salinas",Clinic,St. John,10.0,2018-08-09,2019-09-30,13.27053,-59.18481,Reinspection due
2084,"Diaz,-Holmes-And-Alvarado Hosp",Hospital,St. John,10.0,2021-07-28,,,,
09222,"Diaz,-Rodriguez-And-Stevenson Hospital",Polyclinic,St. Lucy,486.0,2018-02-01,,12.96521,-58.9182,
2086,Diaz-Blanchard,Clinic,St. George,,2018-06-16,,,,Reinspection due
2087,Diaz-Bullock Health Centre,Unknown,St. James,301.0,2024-04-18,2024-02-01,12.79079,-59.23726,Needs upgrade
2088,Diaz-Coffey Hosp,Clinic,St. Joseph,,2019-12-08,,,,Needs upgrade
2479,Diaz-Kelly Clinic,Community Health Centre,St. John,,2021-03-24,,13.12407,-58.95944,Reinspection due
2090,Diaz-Meyer Polyclinic,Community Health Centre,St. Lucy,10.0,2017-02-22,,,,Reinspection due
#5717,Diaz-Ross Clinic,Clinic,St. Michael,38.0,2019-07-06,,,,
#8027,Diaz-Simpson Clinic,Community Health Centre,St. John,,2020-09-03,2019-01-16,13.00457,-58.81336,Good
06455,Diaz-Turner Medical Center,Community Health Centre,St. John,,2021-05-03,,13.27469,-59.2391,
2094,Diaz-Whitaker Medical Center,Unknown,St. Peter,163.0,2024-04-06,,12.78969,-58.99118,Follow-up 2023
4258,"Dickerson, Gibson And Fletcher",Community Health Centre,Christ Church,,2022-09-10,,12.78448,-58.70724,Follow-up 2023
01274,Dickerson-Butler,Unknown,St. Joseph,485.0,2022-04-11,,13.03804,-58.70786,Good
#5158,Dickerson-Cobb Clinic,Hospital,St. Peter,,2024-01-18,,,,
08556,Dickerson-Wallace,Community Health Centre,St. Peter,426.0,2023-01-14,,,,Reinspection due
#2723,Dickson Group Infirmary,Hospital,St. Joseph,470.0,2023-08-09,2024-11-06,,,Needs upgrade
2100,"Dickson, Casey And Murphy Health Centre",Other,St. James,,2020-12-23,,12.94037,-59.167,
03976,"Dickson, Ramos And Doyle Hosp",Other,St. James,489.0,2025-07-13,2020-07-02,,,Reinspection due
0ea9c0,Dillon And Sons Health Centre,Unknown,St. Andrew,,2023-10-03,,,,Needs upgrade
HF-9017,Dillon And Sons Polyclinic,Polyclinic,St. Peter,,2020-09-10,,12.88491,-59.2492,Follow-up 2023
9580,Dillon Llc,Community Health Centre,St. Lucy,,2019-11-09,,13.09445,-59.01932,Follow-up 2023
HF-7502,Dillon Ltd Infirmary,Unknown,St. John,426.0,2018-05-14,2019-11-09,,, 
2106,"Dillon, Perez And Miller Hospital",Community Health Centre,St. Andrew,487.0,2016-05-29,,12.99035,-58.93623,Follow-up 2023
8250,"Dillon,-Cortez-And-Stevenson Medical Center",Other,St. Joseph,238.0,2022-09-26,,,,
HF-0575,Dillon-Llc Hosp,Clinic,Christ Church,,2025-03-28,,12.89621,-58.97837,♥
06434,Dixon Inc Clinic,Clinic,St. John,390.0,2016-01-14,,13.04479,-59.08096,Follow-up 2023
2110,Dixon Ltd Polyclinic,Clinic,Christ Church,361.0,2024-04-29,2018-03-23,,,Reinspection due
#6666,"Dixon, Brock And Griffin Infirmary",Community Health Centre,St. Michael,334.0,2024-09-20,2023-05-02,,,-
4246,"Dixon, Conner And Smith Hospital",Hospital,St. John,67.0,2023-09-06,,12.81252,-58.9699,
HF-9369,"Dixon, Douglas And Jones",Clinic,St. Peter,29.0,2022-05-16,,12.76559,-58.77116,
5953,"Dixon, Jackson And Wilcox",Community Health Centre,St. Joseph,445.0,2023-02-17,,12.79937,-58.78624,-
2115,"Dixon,-Cruz-And-Williams Infirmary",Hospital,St. James,,2021-04-12,,,,
#864,Dixon-Alvarez Health Centre,Hospital,Christ Church,10.0,2016-01-30,,13.21948,-58.87939,Needs upgrade
#6472,Dixon-Inc Hosp,Clinic,St. James,,2017-02-06,,,,Reinspection due
08151,Dixon-Llc Infirmary,Clinic,St. Andrew,267.0,2018-09-04,,13.29551,-59.20196,Follow-up 2023
02963,Dixon-Ltd Polyclinic,Hospital,St. George,270.0,2016-10-13,,,,Good
#9262,Dixon-Mayer Hosp,Unknown,St. Peter,208.0,2025-11-24,2024-06-30,,, 
7392,Dodson Ltd Hosp,Community Health Centre,St. James,137.0,2020-12-21,,13.18153,-58.84419,-
HF-2179,Dodson-Inc,Unknown,St. Andrew,270.0,2023-12-10,,12.76973,-58.97725, 
fe4690,Dominguez Group,Unknown,St. Michael,108.0,2024-11-12,,13.12535,-58.89261,-
8042,"Dominguez, Burke And Nielsen",Polyclinic,St. Michael,,2017-06-30,,,,♥
2125,"Dominguez, Phillips And Wagner Infirmary",Community Health Centre,St. Lucy,4.0,2021-05-05,2022-04-03,13.07555,-59.24906,Reinspection due
2330,"Dominguez,-Hudson-And-Francis Clinic",Community Health Centre,St. George,135.0,2019-09-03,,,,
#3184,Dominguez-Gonzalez Infirmary,Hospital,St. James,276.0,2022-12-01,,13.02377,-59.04389,Follow-up 2023
2128,Dominguez-Llc Infirmary,Community Health Centre,St. Lucy,,2018-11-09,2020-09-04,12.83831,-58.71468,Follow-up 2023
a15517,"Donaldson, Grant And Mann Polyclinic",Unknown,St. James,432.0,2016-02-10,,13.1454,-59.08934,Reinspection due
#1913,Donovan Group,Clinic,St. Peter,443.0,2018-08-20,,,,Follow-up 2023
04553,Dorsey-Henry,Clinic,St. George,11.0,2017-02-28,,13.15029,-59.05087,-
d0d98c,Dougherty-Johnson,Clinic,St. Michael,,2017-10-31,,13.29476,-58.94336,Good
6423,Dougherty-Nash Hosp,Community Health Centre,St. James,10.0,2018-05-18,2024-10-02,13.24915,-58.96964,♥
#2178,Douglas And Sons Infirmary,Unknown,Christ Church,105.0,2019-01-26,,12.82489,-59.05848,Needs upgrade
48bd35,Douglas Inc Hospital,Polyclinic,St. Joseph,,2022-11-18,,,,Good
HF-5222,Douglas Ltd,Clinic,Christ Church,160.0,2022-11-09,,12.84311,-59.11449,Good
#9287,Douglas Ltd Clinic,Clinic,St. Peter,10.0,2024-04-11,,12.98874,-59.16915,-
#3537,"Douglas, Bauer And Allen Hosp",Polyclinic,St. James,,2025-04-23,,,,
8544,"Douglas, Fry And Gaines",Hospital,St. Peter,10.0,2022-02-27,,13.13773,-58.86752,
HF-9836,"Douglas, Gardner And Santana",Clinic,St. George,,2017-12-02,,12.87821,-58.7241, 
349511,"Douglas, Ho And Coleman Infirmary",Unknown,St. Lucy,15.0,2022-08-21,,,,
5367,"Douglas, Lowe And White",Polyclinic,Christ Church,,2021-09-07,,13.03795,-58.73024,Follow-up 2023
HF-7255,"Douglas, Silva And Walton Hospital",Hospital,St. Joseph,236.0,2021-02-24,,12.76549,-58.82525,♥
2144,"Douglas, White And Chase",Unknown,St. John,233.0,2022-06-23,,13.08889,-58.93265,Follow-up 2023
7348,"Douglas,-Davis-And-Mcintyre Clinic",Clinic,St. Andrew,206.0,2019-06-02,,,,Needs upgrade
HF-1933,Douglas-Bell Clinic,Unknown,St. Michael,236.0,2020-05-03,,13.25471,-58.81751,-
2147,Douglas-Bryant Polyclinic,Polyclinic,St. James,427.0,2019-07-28,,12.75811,-58.8113,Reinspection due
5925,Douglas-Davis,Clinic,St. Joseph,,2025-01-25,,,,Good
05324,Douglas-Mcpherson,Clinic,St. James,,2025-05-16,,,,Good
00484,Downs Plc Hospital,Community Health Centre,St. Joseph,64.0,2018-07-19,,13.28685,-58.82974,
379977,Downs Plc Infirmary,Community Health Centre,St. Peter,10.0,2019-09-29,,,, 
9821,"Downs, Brennan And Kelly Hosp",Unknown,St. George,292.0,2019-08-01,,,,
2153,"Downs,-Carlson-And-Baldwin",Clinic,St. Joseph,384.0,2025-02-25,,12.8201,-59.0973,Reinspection due
2154,"Downs,-Jones-And-Russell Medical Center",Unknown,St. Joseph,13.0,2025-08-30,,,,
#4918,Downs-Cabrera,Other,St. Lucy,214.0,2023-09-21,,13.04631,-58.99262,Follow-up 2023
2156,Downs-Fleming Polyclinic,Hospital,St. George,,2021-06-02,,12.89425,-58.92949,Reinspection due
d2002c,Downs-Tate,Hospital,Christ Church,,2022-12-24,2020-02-19,12.72031,-59.26448,♥
HF-6889,Doyle Ltd Medical Center,Unknown,St. Lucy,,2023-03-10,,12.99392,-58.86731,Needs upgrade
c3fc7f,Doyle Ltd Polyclinic,Unknown,Christ Church,284.0,2016-04-28,,13.14391,-59.2413,-
01379,"Doyle, Baker And Ramsey Hosp",Clinic,St. Joseph,460.0,2018-02-17,,13.23107,-59.1079,Needs upgrade
#2623,Drake And Sons,Unknown,St. James,,2025-04-22,2021-12-24,13.09812,-59.12692,Follow-up 2023
3073,Drake And Sons Hosp,Unknown,St. Joseph,,2018-06-13,2021-10-08,,,-
ee39e4,Drake Group Clinic,Community Health Centre,St. George,36.0,2022-10-01,,,,♥
09713,"Drake,-Jackson-And-Rodriguez Polyclinic",Hospital,St. Peter,7.0,2025-04-14,,13.25942,-59.25914,Follow-up 2023
2165,Drake-Case Infirmary,Clinic,St. Lucy,,2020-08-28,,,,Needs upgrade
2166,Duarte And Sons Polyclinic,Clinic,St. Peter,10.0,2020-05-07,,12.72049,-58.85787,
08062,Duarte-Carlson Hosp,Polyclinic,St. Michael,476.0,2025-03-26,,13.28482,-59.23491, 
2168,Duarte-Moss,Hospital,St. Andrew,200.0,2018-12-09,,13.02314,-58.84516,Reinspection due
07973,Dudley Ltd,Clinic,St. George,10.0,2021-09-06,,,,
02829,Dudley-Plc,Other,St. Joseph,196.0,2023-03-26,2021-01-25,,, 
5691,Duffy Llc Clinic,Hospital,St. Michael,62.0,2016-08-23,,13.01485,-59.28993, 
HF-3019,Duffy Ltd Infirmary,Other,St. Lucy,,2022-08-21,2025-08-23,13.15931,-59.13459,Reinspection due
5204,"Duke, Bailey And Simpson Infirmary",Hospital,St. Michael,,2020-01-25,,,, 
#9875,"Duke, Jones And Blackwell Medical Center",Clinic,St. Michael,150.0,2019-12-16,,,,-
1911,"Duke,-Murphy-And-Perez Hospital",Polyclinic,St. George,113.0,2016-12-07,,13.06393,-58.84122,Good
#7875,Duke-Haas Polyclinic,Community Health Centre,St. James,393.0,2023-10-06,2025-10-31,,, 
2177,Duke-Plc Health Centre,Hospital,St. James,487.0,2019-12-23,,12.82945,-58.73773, 
3f95d2,Duncan Ltd Hospital,Community Health Centre,St. James,433.0,2024-06-11,,,, 
HF-0813,"Duncan, Jacobson And Foster Polyclinic",Polyclinic,St. Michael,86.0,2025-06-15,,13.11769,-59.20933,-
HF-2649,"Duncan, Larsen And Lopez Polyclinic",Community Health Centre,St. Andrew,10.0,2022-09-05,,12.82722,-58.75512,Reinspection due
HF-4578,Duncan-Forbes Medical Center,Other,St. James,10.0,2016-03-09,,,,
51c192,Duncan-Inc,Hospital,St. James,,2021-05-07,2025-01-04,13.20187,-58.92882,
2183,Duncan-Liu Health Centre,Other,St. George,56.0,2022-04-07,,,,-
2184,Duncan-Thompson Clinic,Other,Christ Church,,2023-04-25,,12.72187,-58.99765,
7880,"Dunlap, Beck And Kelley Hospital",Unknown,St. Peter,,2016-04-01,,,,Needs upgrade
3131f5,"Dunlap, Mcneil And Fernandez",Community Health Centre,Christ Church,458.0,2023-09-29,,12.73828,-59.20173,♥
7843,"Dunlap, Waller And Rivera Polyclinic",Polyclinic,St. George,494.0,2020-01-26,,12.86548,-58.74865,Good
2188,"Dunlap,-Robertson-And-Quinn",Unknown,St. Michael,100.0,2020-11-28,,,, 
dd22f9,Dunlap-Campbell Infirmary,Hospital,St. George,,2021-03-05,,13.02342,-59.14075,-
HF-0505,Dunlap-Dunn Infirmary,Clinic,St. Peter,154.0,2021-12-08,2020-11-26,12.74561,-59.23937,
#7572,Dunlap-Shaw Hosp,Polyclinic,St. Michael,,2020-10-27,2025-02-11,,,
#6479,Dunn Llc Health Centre,Community Health Centre,St. Michael,,2021-03-10,,12.91983,-59.17779,-
243a69,Dunn Ltd Hospital,Hospital,St. Michael,,2018-12-19,,12.85193,-58.70992,Reinspection due
08277,"Dunn, Chang And Nguyen Medical Center",Unknown,St. Andrew,200.0,2023-01-03,,,,Good
02160,"Dunn, Forbes And Dennis Polyclinic",Polyclinic,St. George,413.0,2019-04-29,,,,Needs upgrade
a8fa33,"Dunn, Green And Miller Infirmary (Ycul)",Unknown,St. Lucy,10.0,2018-11-05,,,, 
ee295a,"Dunn, Olsen And Hill Polyclinic",Hospital,Christ Church,393.0,2019-05-04,,13.06639,-58.85865,
2198,"Dunn, Solis And Paul",Community Health Centre,St. John,248.0,2021-12-04,,13.03313,-58.71713,Reinspection due
HF-4770,"Dunn, Wilson And Reed",Unknown,St. Andrew,342.0,2016-06-25,,12.76462,-59.28204,-
8291d5,"Dunn,-Abbott-And-David Clinic",Unknown,St. Peter,,2018-06-25,,,,
2201,"Dunn,-Miller-And-Smith Health Centre",Clinic,Christ Church,15.0,2017-12-12,,,, 
HF-6106,Dunn-Jones Clinic,Clinic,St. James,,2024-01-07,,12.82297,-58.98745, 
HF-9716,Dunn-Lucero Clinic,Community Health Centre,St. Peter,,2018-07-07,,12.91805,-59.03039,
04580,Dunn-Roberts,Other,St. John,10.0,2023-03-10,,,,
2205,Dunn-Ryan Polyclinic,Community Health Centre,St. Michael,,2016-06-10,,13.0461,-59.0072,Good
b5377a,Dunn-Snyder Medical Center,Hospital,St. Joseph,,2019-06-10,,12.9606,-59.14094,
#2150,Dunn-Thomas Health Centre (Hcruhc),Community Health Centre,Hcruhc Tsirhc,284.0,2018-10-28,,12.88222,-59.10081,Good
7879,Dunn-Vaughan,Unknown,St. James,476.0,2023-10-03,,13.07775,-58.75354,
05661,Dunn-Whitney Hospital,Polyclinic,St. George,,2024-01-26,2018-03-18,,,
2210,Duran Plc Clinic,Hospital,St. Lucy,373.0,2021-10-09,,,,Good
2211,Duran-Gray,Polyclinic,St. Joseph,102.0,2022-05-25,,12.84757,-58.75203,Follow-up 2023
9785,Duran-Llc,Hospital,St. Peter,471.0,2019-01-26,,,,Follow-up 2023
abfb2d,Duran-Olson Hospital,Clinic,St. Michael,,2019-08-05,,,,
#1493,"Durham, Moreno And Turner Hospital",Other,St. Michael,,2021-10-31,,,,Good
HF-3211,"Durham, Quinn And Bennett Infirmary",Community Health Centre,St. George,10.0,2019-06-10,2020-03-24,,,
ca7663,Durham-Johnson Polyclinic,Clinic,St. Andrew,,2023-05-01,,13.06135,-59.07764, 
fe540b,Durham-Taylor Infirmary,Hospital,Christ Church,50.0,2018-07-23,,13.1909,-59.1603,♥
2218,Dyer Group Health Centre,Polyclinic,St. Peter,251.0,2025-08-11,2020-08-03,12.91775,-58.78374,
HF-5088,Dyer Inc Health Centre,Polyclinic,St. Lucy,180.0,2019-11-05,,13.03222,-59.01244,Reinspection due
0055ad,Dyer Plc Hosp.,Unknown,Christ Church,140.0,2019-04-09,,12.75228,-59.02874,
HF-8773,"Dyer, White And Jensen",Hospital,St. Michael,41.0,2021-08-18,,,,
HF-7243,Dyer-Peters,Other,St. Peter,289.0,2018-09-13,,,,
2223,Eaton Inc Clinic,Clinic,St. Peter,,2025-05-30,,12.74406,-59.21165,Follow-up 2023
d552b4,Eaton Llc,Polyclinic,St. Lucy,,2017-11-30,,13.09892,-58.84171,♥
#9739,Eaton-Mcdaniel Health Centre,Clinic,St. George,10.0,2018-12-18,,13.29725,-58.98588,Needs upgrade
2226,Eaton-Smith,Clinic,St. Peter,237.0,2016-05-06,,12.78155,-58.96761,-
2227,Eaton-Smith Clinic,Unknown,St. Joseph,165.0,2017-12-21,,12.81059,-59.24197,Good
#5226,Edwards Llc,Unknown,St. James,,2017-09-14,2021-03-23,,,-
8728,Edwards Ltd,Unknown,Hcruhc Tsirhc,118.0,2020-04-03,,13.01332,-58.73552,Good
